,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
2302,12080,4.6,82,2021,35991.0,Subaru,Great,1 Subaru Ascent Limited 7-Passenger
2303,19951,4.8,337,2021,61900.0,Porsche,Good,1 Porsche Macan Base
2304,20480,4.0,324,2019,38944.0,BMW,Good,19 BMW 330 i
2305,13703,4.9,1804,2022,27975.0,Toyota,Good, Toyota Camry LE
2306,32650,4.9,215,2019,39998.0,Volvo,Good,19 Volvo XC60 T6 R-Design
2307,2247,4.8,77,2022,81995.0,INFINITI,Fair, INFINITI QX80 SENSORY
2308,55363,4.3,664,2019,39107.0,Ford,Unknown,19 Ford Expedition XLT
2310,18630,2.4,27,2019,20499.0,Volkswagen,Great,19 Volkswagen Jetta 1.4T S
2311,2803,4.6,655,2022,48500.0,Jeep,Good, Jeep Grand Cherokee L Limited
2312,9648,4.5,740,2022,64995.0,INFINITI,Unknown, INFINITI QX60 AUTOGRAPH
2313,1752,3.9,4090,2022,85988.0,Toyota,Good, Toyota Tundra Hybrid Capstone
2314,27554,4.0,297,2020,45500.0,Volvo,Good, Volvo V60 Cross Country T5
2315,11020,4.8,1582,2022,36995.0,Honda,Good, Honda CR-V EX
2316,15212,4.4,310,2021,64995.0,Porsche,Fair,1 Porsche Macan Base
2317,22946,4.4,1327,2019,26100.0,Ford,Good,19 Ford Fusion Energi Titanium
2318,2914,2.0,120,2022,44988.0,Jeep,Unknown, Jeep Grand Cherokee L Altitude
2319,22552,4.8,565,2021,55684.0,Toyota,Fair,1 Toyota Highlander Hybrid Platinum
2320,56641,4.4,637,2018,25977.0,Dodge,Great,18 Dodge Durango SXT
2321,18337,4.7,1998,2021,39980.0,Honda,Good,1 Honda Ridgeline Sport
2322,603,4.9,7710,2022,43991.0,Ford,Good, Ford Maverick Lariat
2324,26676,4.5,81,2019,30985.0,Honda,Unknown,19 Honda Odyssey 
2325,1306,4.4,2422,2022,97795.0,Chevrolet,Good, Chevrolet Corvette Stingray w/3LT
2326,10333,4.8,6834,2021,72888.0,BMW,Good,1 BMW X6 xDrive40i
2327,33293,4.4,515,2020,47995.0,Toyota,Fair, Toyota Tacoma Limited
2328,6015,4.3,218,2022,106995.0,Cadillac,Great, Cadillac Escalade Premium Luxury
2329,18200,4.9,3266,2021,37995.0,Volkswagen,Great,1 Volkswagen Atlas 3.6 V6 SE w/ Technology
2330,21391,4.8,953,2021,36995.0,Honda,Great,1 Honda Pilot EX-L
2331,35772,4.3,456,2019,47885.0,BMW,Great,19 BMW X6 sDrive35i
2333,12360,4.8,1896,2016,264900.0,Ferrari,Great,16 Ferrari 488 GTB Base
2334,26914,3.1,604,2021,46650.0,Toyota,Great,1 Toyota 4Runner Venture
2335,45755,5.0,359,2019,36998.0,Acura,Fair,19 Acura RDX Technology Package
2336,28107,4.4,294,2021,78800.0,BMW,Good,1 BMW X5 M50i
2337,27402,4.6,3421,2021,40550.0,Cadillac,Good,1 Cadillac XT5 Premium Luxury
2338,24590,4.3,710,2020,68864.0,Chevrolet,Good, Chevrolet Tahoe Premier
2339,24827,4.5,570,2020,28345.0,Acura,Great, Acura ILX Premium & A-SPEC Packages
2340,415,2.8,92,2023,60977.0,Kia,Unknown,3 Kia Carnival SX Prestige
2341,38476,4.7,590,2019,33790.0,Toyota,Fair,19 Toyota Prius Prime Plus
2342,19187,4.7,846,2022,64989.0,Toyota,Fair, Toyota Sienna Platinum 7 Passenger
2343,37995,4.0,334,2020,28955.0,Volkswagen,Great, Volkswagen Tiguan 2.0T SEL
2344,3774,4.7,133,2021,165341.0,Porsche,Good,1 Porsche Taycan Turbo
2345,21795,4.8,8600,2020,42798.0,Toyota,Good, Toyota 4Runner Limited
2346,979,4.8,1261,2021,209998.0,Aston Martin,Unknown,1 Aston Martin DB11 Volante
2347,38663,4.8,4332,2021,46700.0,Toyota,Good,1 Toyota Tundra SR5
2348,29734,4.8,300,2020,32649.0,BMW,Good, BMW X1 sDrive28i
2349,26476,4.6,1925,2020,38795.0,BMW,Great, BMW 330 i xDrive
2350,25165,4.8,549,2021,51294.0,INFINITI,Great,1 INFINITI Q60 3.0t Red Sport 4
2351,22963,4.7,248,2021,34944.0,Ford,Good,1 Ford Explorer XLT
2352,19426,4.7,2254,2019,27513.0,Jeep,Great,19 Jeep Compass Trailhawk
2353,54146,4.6,242,2018,49695.0,GMC,Great,18 GMC Yukon Denali
